phrase,en,pronunciation,id
火烧眉毛,extremely urgent,huǒ shāo méi máo,195
机械手,manipulator,jī xiè shǒu,196
疾恶如仇,hate injustice like poison,jí è rú chóu,197
嫉恶如仇,hate evil as one does one &apos;s enemy,jí è rú chóu,198
蒺藜,Tribulus terrestris,jí lí,199
家蚕,silkworm,jiā cán,200
将错就错,make the best of a bad bargain,jiāng cuò jiù cuò,201
茭白,Zizania latifolia,jiāo bái,202
绞死,hang,jiǎo sǐ,203
缴付,pay,jiǎo fù,204
看医生,see a doctor,kàn yī shēng,205
胯骨,hipbone,kuà gǔ,206
老相识,Old acquaintance,lǎo xiàng shí,207
类固醇,steroid,lèi gù chún,208
凉意,Coolness,liáng yì,209
林涛,Lin Tao,lín tāo,210
鹿茸,Pilose antler,lù róng,211
漫溢,Overflow,màn yì,212
毛裤,Woollen trousers,máo kù,213
帽徽,Cap badge,mào huī,214
煤耗,coal consumption,méi hào,215
妙策,A clever plan,miào cè,216
咩,Baa,miē,217
明达,Mingda,míng dá,218
抹灰,plaster,mǒ huī,219
沫子,Foam,mò zǐ,220
目光短浅,Short sighted,mù guāng duǎn qiǎn,221
脑汁,Brain,nǎo zhī,222
内服,Oral administration,nèi fú,223
能言善辩,be skilled in debate,néng yán shàn biàn,224
孽种,Evil breed,niè zhǒng,225
呕血,haematemesis,ǒu xuè,226
盘坐,Sit in a circle,pán zuò,227
配比,mixture ratio,pèi bǐ,228
屁滚尿流,scare the shit out of sb.,pì gǔn niào liú,229
僻远,remote and out-of-the-way,pì yuǎn,230
骈体,Parallel style,pián tǐ,231
破镜重圆,a broken mirror joined together,pò jìng chóng yuán,232
汽灯,Steam lamp,qì dēng,233
巧言,Tongues,qiǎo yán,234
倾巢,Pour out one&apos;s nest,qīng cháo,235
穷兵黩武,exhaust all resources to build up one &apos;s military power,qióng bīng dú wǔ,236
求雨,pray for rain,qiú yǔ,237
去皮,peel,qù pí,238
犬马,Dogs and horses,quǎn mǎ,239
人地生疏,complete stranger,rén dì shēng shū,240
人心不古,human hearts are not what they were in the old days,rén xīn bù gǔ,241
人妖,Simon?,rén yāo,242
容身,Shelter,róng shēn,243
溶血,hemolysis,róng xuè,244
人定,People decide,rén dìng,245
撒播,Broadcast,sǎ bō,246
桑葚,Mulberry,sāng shèn,247
瘙痒,itch,sào yǎng,248
摄影棚,Studio,shè yǐng péng,249
绳套,Noose,shéng tào,250
失计,Miscalculation,shī jì,251
什锦,Assorted food?,shí jǐn,252
拾遗补缺,do damage control,shí yí bǔ quē,253
世仇,feud,shì chóu,254
事到临头,It&apos;s time,shì dào lín tóu,255
收殓,Collection,shōu liàn,256
受业,Receive employment,shòu yè,257
耍笑,Make fun of,shuǎ xiào,258
霜期,Frost period,shuāng qī,259
睡袍,robe,shuì páo,260
撕打,Tearing and beating,sī dǎ,261
四海为家,feel at home wherever one goes,sì hǎi wéi jiā,262
汤水,soup,tāng shuǐ,263
特首,Chief executive,tè shǒu,264
通栏,banner,tōng lán,265
头雁,Head goose,tóu yàn,266
投合,Join in,tóu hé,267
托病,Tuobing,tuō bìng,268
脱发,alopecia,tuō fà,269
脱色,Decolorization,tuō sè,270
驼峰,hump,tuó fēng,271
外孙子,Grandson,wài sūn zi,272
外溢,Spillover,wài yì,273
外引,Introduction,wài yǐn,274
万福,Wanfu,wàn fú,275
万贯,Wanguan,wàn guàn,276
望月,full moon,wàng yuè,277
围腰,An apron,wéi yāo,278
味同嚼蜡,insipid,wèi tóng jiáo là,279
蔚为壮观,present a splendid sight,wèi wéi zhuàng guān,280
蜗居,Dwelling in a snail&apos;s nest,wō jū,281
乌七八糟,in a horrible mess,wū qī bā zāo,282
污渍,stain,wū zì,283
无为而治,govern by doing nothing that goes against nature,wú wéi ér zhì,284
五爱,Five loves,wǔ ài,285
五线谱,staff,wǔ xiàn pǔ,286
晤面,meet,wù miàn,287
雾里看花,have a blurred vision,wù lǐ kàn huā,288
喜怒无常,be subject to changing moods,xǐ nù wú cháng,289
系铃人,Tie bell person,xì líng rén,290
先睹为快,be all eagerness to see it,xiān dǔ wéi kuài,291
贤能,Talent,xián néng,292
小过,Minor faults,xiǎo guò,293
心肌梗死,miocardial infarction,xīn jī gěng sǐ,294
幸会,very pleased to meet you,xìng huì,295
凶横,Ferocious,xiōng hèng,296
虚岁,Virtual year,xū suì,297
血雨腥风,one &apos;s sabre-rattling is getting louder and the smell of gunpowder thicker,xuè yǔ xīng fēng,298
压顶,Capping,yā dǐng,299
压路机,Roller,yā lù jī,300
烟具,Smoking set,yān jù,301
盐巴,Salt,yán bā,302
眼角膜,cornea,yǎn jiǎo mó,303
洋化,foreignization,yáng huà,304
徭役,Corvee,yáo yì,305
一马平川,the boundless plain,yī mǎ píng chuān,306
意气用事,act on impulse in handling things,yì qì yòng shì,307
臆测,Conjecture,yì cè,308
隐衷,Insincerity,yǐn zhōng,309
影视圈,Film and television circle,yǐng shì quān,310
庸医,Quack,yōng yī,311
淤血,Congestion,yū xiě,312
鱼油,fish oil,yú yóu,313
渔猎,Fishing and hunting,yú liè,314
愚见,A fool&apos;s opinion,yú jiàn,315
原地踏步,Standing still,yuán dì tà bù,316
远视,hyperopia,yuǎn shì,317
运动衣,Sportswear,yùn dòng yī,318
杂陈,Miscellaneous,zá chén,319
皂角,Gleditsia sinensis,zào jiǎo,320
诈降,Feign surrender,zhà xiáng,321
枝蔓,Branches and vines,zhī màn,322
治服,subdue,zhì fú,323
周转金,Working capital,zhōu zhuǎn jīn,324
啁啾,chirp,zhōu jiū,325
助纣为虐,help a tyrant to victimize his subjects,zhù zhòu wéi nuè,326
装神弄鬼,mystify,zhuāng shén nòng guǐ,327
追怀,Reminiscence,zhuī huái,328
追尾,Rear end,zhuī wěi,329
自成一家,strike out a new line for oneself,zì chéng yī jiā,330
身教,Teaching by example,shēn jiào,331
阿司匹林,aspirin,ā sī pǐ lín,332
白肉,White meat,bái ròu,333
白事,funeral,bái shì,334
白血球,white blood cell,bái xuè qiú,335
摆阔,Ostentatious,bǎi kuò,336
拜辞,Farewell,bài cí,337
板床,plank bed,bǎn chuáng,338
半腰,Half waist,bàn yāo,339
报春花,Primula,bào chūn huā,340
暴死,Violent death,bào sǐ,341
爆炒,"Quick-fry ",bào chǎo,342
悲号,"wail ",bēi háo,343
背人,Betray others,bèi rén,344
本埠,Local port,běn bù,345
变价,Price change,biàn jià,346
兵械,Military equipment,bīng xiè,347
波束,beam,bō shù,348
草民,Grassroots,cǎo mín,349
拆穿,Debunk,chāi chuān,350
长逝,Long gone,cháng shì,351
唱高调,High profile,chàng gāo diào,352
成名作,Famous works,chéng míng zuò,353
成人之美,bring a romance to a happy ending,chéng rén zhī měi,354
成文法,Codified law,chéng wén fǎ,355
呈交,Submit,chéng jiāo,356
城垛,battlements,chéng duǒ,357
逞凶,Show off,chěng xiōng,358
吃不准,I&apos;m not sure,chī bu zhǔn,359
吃老本,Eat old money,chī lǎo běn,360
垂死挣扎,give dying kicks,chuí sǐ zhēng zhá,361
从戎,Congrong,cóng róng,362
粗通,General,cū tōng,363
寸断,Cunduan,cùn duàn,364
寸土,inch of land,cùn tǔ,365
大集体,a type of socialist collective ownership system,dà jí tǐ,366
大前天,three days ago,dà qián tiān,367
单用,use separately,dān yòng,368
弹丸之地,tiny little place,dàn wán zhī dì,369
倒运,Bad luck,dǎo yùn,370
颠倒是非,confuse truth and falsehood,diān dǎo shì fēi,371
电汇,Telegraphic transfer,diàn huì,372
斗拱,Dougong,dǒu gǒng,373
短讯,Short message,duǎn xùn,374
堆肥,compost,duī féi,375
发报,Send a message,fā bào,376
发绿,become green,fā lv4,377
反绑,Anti binding,fǎn bǎng,378
反扒,crack down on pickpockets,fǎn bā,379
反诉,counterclaim,fǎn sù,380
防暴警察,Riot Police,fáng bào jǐng chá,381
防寒服,Winter clothes,fáng hán fú,382
飞扬跋扈,imperious,fēi yáng bá hù,383
粪车,Dung cart,fèn chē,384
风声鹤唳,referring to the great fright of routed soldiers,fēng shēng hè lì,385
氟利昂,Freon,fú lì áng,386
俯拾即是,can be found everywhere,fǔ shí jí shì,387
概略,General,gài lvè,388
敢是,Dare you,gǎn shì,389
刚正,upright,gāng zhèng,390
工笔画,claborate-style painting,gōng bǐ huà,391
工于,be good at,gōng yú,392
公举,Public examination,gōng jǔ,393
勾魂,Enchanting,gōu hún,394
狗崽子,Son of a bitch,gǒu zǎi zǐ,395
鼓风机,Blower,gǔ fēng jī,396
刮痧,Scraping,guā shā,397
寡居,Widowhood,guǎ jū,398
挂冠,Hang a crown,guà guān,399
光火,Inflamed,guāng huǒ,400
归程,Return journey,guī chéng,401
归化,Naturalization,guī huà,402
鬼哭狼嚎,wail like ghosts and howl like wolves,guǐ kū láng háo,403
鬼头鬼脑,show one &apos;s horns,guǐ tóu guǐ nǎo,404
滚瓜烂熟,pat,gǔn guā làn shú,405
果腹,Fruit belly,guǒ fù,406
酣战,A fierce battle,hān zhàn,407
皓齿,White teeth,hào chǐ,408
荷载,load,hè zài,409
黑色幽默,black humour,hēi sè yōu mò,410
横断面,cross section,héng duàn miàn,411
宏论,A grand discussion,hóng lùn,412
厚意,Kindness,hòu yì,413
胡椒面儿,ground pepper,hú jiāo miàn ér,414
花腔,Coloratura,huā qiāng,415
还账,Pay off,huán zhàng,416
黄道吉日,a lucky day,huáng dào jí rì,417
毁谤,Slander,huǐ bàng,418
婚俗,marriage custom,hūn sú,419
纪纲,Chronicle,jì gāng,420
家鸽,pigeon,jiā gē,421
拣选,Picking,jiǎn xuǎn,422
贱人,bitch,jiàn rén,423
姜汤,Ginger soup,jiāng tāng,424
结婚照,Wedding Photos,jié hūn zhào,425
金针,Day lily,jīn zhēn,426
进款,Income,jìn kuǎn,427
禁食,fasting,jìn shí,428
警徽,police badge,jǐng huī,429
竞拍,Bidding,jìng pāi,430
救险,rescue from danger,jiù xiǎn,431
开裆裤,Crotch pants,kāi dāng kù,432
苛捐杂税,multifarious taxes,kē juān zá shuì,433
空喊,Empty shout,kōng hǎn,434
空架子,be in form only,kōng jià zi,435
口诛笔伐,condemn both in speech and in writing,kǒu zhū bǐ fá,436
苦差,Drudgery,kǔ chāi,437
髋关节,hip joint,kuān guān jié,438
来潮,Coming tide,lái cháo,439
劳改犯,Reformers through labor,láo gǎi fàn,440
老旦,Laodan,lǎo dàn,441
冷板凳,cold bench,lěng bǎn dèng,442
两可,It&apos;s both right and wrong,liǎng kě,443
两全,Two complete,liǎng quán,444
伶牙俐齿,have the gift of the gab,líng yá lì chǐ,445
罗曼蒂克,Romantic,luó màn dì kè,446
落魄,Down and out,luò pò,447
马赛克,Mosaic,mǎ sài kè,448
漫卷,flutter freely,màn juǎn,449
没着落,There&apos;s no place,méi zhuó luò,450
幂,power,mì,451
明春,next spring,míng chūn,452
木偶戏,Puppet show,mù ǒu xì,453
耙子,Rake,pá zi,454
旁门,Side door,páng mén,455
皮包公司,Leather bag company,pí bāo gōng sī,456
翩跹,lightly,piān xiān,457
片剂,tablet,piàn jì,458
飘移,Drift,piāo yí,459
瓢虫,Ladybug,piáo chóng,460
瓢泼大雨,heave rain,piáo pō dà yǔ,461
瓶塞,Bottle stopper,píng sāi,462
妻弟,wife&apos;s younger brother,qī dì,463
欺瞒,Deceiving,qī mán,464
漆画,lacquer painting,qī huà,465
奇趣,sth. extraordinarily interesting,qí qù,466
铅印,Lead printing,qiān yìn,467
强弩之末,spent force,qiáng nǔ zhī mò,468
强辩,Strong argument,qiǎng biàn,469
轻机枪,Light machine gun,qīng jī qiāng,470
穷则思变,poverty gives rise to the desire for change,qióng zé sī biàn,471
如狼似虎,ferocious,rú láng sì hǔ,472
软椅,Soft chair,ruǎn yǐ,473
山景,Mountain View,shān jǐng,474
煽风点火,fan the flames,shān fēng diǎn huǒ,475
上税,Tax payment,shàng shuì,476
梢头,Shaotou,shāo tóu,477
深交,be intimate friends,shēn jiāo,478
时点,point of time,shí diǎn,479
实价,Firm price,shí jià,480
实足,Solid enough,shí zú,481
食管,esophagus,shí guǎn,482
事必躬亲,take care of every single thing personally,shì bì gōng qīn,483
守势,defensive,shǒu shì,484
守业,Keep one&apos;s business,shǒu yè,485
丝丝入扣,all threads neatly tied up,sī sī rù kòu,486
四季如春,Four seasons are like spring,sì jì rú chūn,487
糖醋,Sweet and sour,táng cù,488
土包子,Local steamed buns,tǔ bāo zi,489
土拨鼠,marmot,tǔ bō shǔ,490
兔儿爷,rabbit,tù er yé,491
拖网,trawl,tuō wǎng,492
顽劣,Obstinate,wán liè,493
万金油,Lard,wàn jīn yóu,494
畏首畏尾,be overcautious,wèi shǒu wèi wěi,495
无的放矢,shoot at random,wú dì fàng shǐ,496
无可无不可,not care one way or another,wú kě wú bù kě,497
无所不为,stop at nothing,wú suǒ bù wéi,498
下家,My family,xià jiā,499
下卷,Volume two,xià juǎn,500
显达,Xianda,xiǎn dá,501
限速,Speed limit,xiàn sù,502
乡俗,Local customs,xiāng sú,503
降表,Drop table,xiáng biǎo,504
消夜,To kill the night,xiāo yè,505
小我,Ego,xiǎo wǒ,506
孝服,mourning dress,xiào fú,507
斜睨,Squint at,xié nì,508
泄愤,Vent one&apos;s anger,xiè fèn,509
信口雌黄,make irresponsible remarks,xìn kǒu cí huáng,510
信任投票,Vote of confidence,xìn rèn tóu piào,511
猩红热,Scarlet fever,xīng hóng rè,512
行令,Executive order,xíng lìng,513
修订本,Revision,xiū dìng běn,514
续篇,sequel,xù piān,515
血衣,Blood coat,xuè yī,516
巡访,Tour,xún fǎng,517
压级,Grading,yā jí,518
厌食,anorexia,yàn shí,519
妖魔鬼怪,demons and ghosts,yāo mó guǐ guài,520
药草,herb,yào cǎo,521
已极,in the extreme,yǐ jí,522
庸人自扰,worry about troubles of one &apos;s own imagining,yōng rén zì rǎo,523
幽远,faraway,yōu yuǎn,524
油绿,Oil green,yóu lv4,525
又及,And,yòu jí,526
瘀血,blood stasis,yū xuè,527
鱼叉,Harpoon,yú chā,528
浴衣,bathrobe,yù yī,529
岳家,Yue family,yuè jiā,530
载重汽车,Truck,zài zhòng qì chē,531
章回小说,Chapter Novels,zhāng huí xiǎo shuō,532
胀痛,Distending pain,zhàng tòng,533
正餐,Dinner,zhèng cān,534
证物,exhibit as evidence,zhèng wù,535
指印,fingerprint,zhǐ yìn,536
至交,Best friend,zhì jiāo,537
终岁,Last year,zhōng suì,538
猪瘟,swine fever,zhū wēn,539
祝捷,Zhu Jie,zhù jié,540
铸件,casting,zhù jiàn,541
装蒜,Pretending,zhuāng suàn,542
自量,Self measurement,zì liàng,543
嘴快,Quick talk,zuǐ kuài,544
左首,left,zuǒ shǒu,545
坐以待毙,await one&apos;s doom,zuò yǐ dài bì,546
哀歌,Elegy,āi gē,547
板书,Writing on the blackboard,bǎn shū,548
帮厨,Kitchen helper,bāng chú,549
保命,Save your life,bǎo mìng,550
抱养,adoption,bào yǎng,551
比量,Comparison,bǐ liang,552
笔意,Brushwork,bǐ yì,553
币制,Currency system,bì zhì,554
贬抑,Derogatory,biǎn yì,555
变速器,Transmission,biàn sù qì,556
表功,Show merit,biǎo gōng,557
脖领儿,Neck collar,bó lǐng er,558
醭,A little bit,bú,559
补缀,Mending,bǔ zhuì,560
才略,Talent and strategy,cái lvè,561
裁缝,tailor,cái féng,562
踩高跷,Walking on stilts,cǎi gāo qiāo,563
仓容,storage capacity,cāng róng,564
操刀,be in charge,cāo dāo,565
差池,Bad luck,chā chí,566
肠衣,Casing,cháng yī,567
炒饭,Fried rice,chǎo fàn,568
尘嚣,Hustle and bustle,chén xiāo,569
陈世美,Chen Shimei,chén shì měi,570
称许,Praise,chēng xǔ,571
吃得消,I can stand it,chī de xiāo,572
吃喝风,the common practice of wasteful feasting,chī hē fēng,573
冲凉,take a shower,chōng liáng,574
出缺,Vacancy,chū quē,575
闯劲,Aggressive,chuǎng jìn,576
吹喇叭,Blow the trumpet,chuī lǎ ba,577
存根,stub,cún gēn,578
大率,in the main,dà shuài,579
大智若愚,"the more a man knows, the more he is inclined to be modest.",dà zhì ruò yú,580
代步,Step by step,dài bù,581
倒爷,The devil,dǎo yé,582
道袍,Taoist Robe,dào páo,583
地久天长,as long as the heaven and earth endure,dì jiǔ tiān cháng,584
电弧,electric arc,diàn hú,585
掉价,Price drop,diào jià,586
冬月,the eleventh month of the lunar Calendar,dōng yuè,587
肚量,Belly,dù liàng,588
多舛,"unfortunate ",duō chuǎn,589
恶仗,A vicious battle,è zhàng,590
发懵,Confused,fā měng,591
反转,reversal,fǎn zhuàn,592
房费,The room rate,fáng fèi,593
匪帮,bandit gang,fěi bāng,594
妇道人家,Women&apos;s family,fù dào rén jiā,595
附加税,Surtax,fù jiā shuì,596
附庸风雅,mingle with men of letters and pose as a lover of culture,fù yōng fēng yǎ,597
赴死,To die,fù sǐ,598
工房,Workshop,gōng fáng,599
工蚁,worker-priest,gōng yǐ,600
公断,arbitration,gōng duàn,601
灌装,filling,guàn zhuāng,602
归公,Return to the public,guī gōng,603
过河拆桥,burn the bridge after crossing it,guò hé chāi qiáo,604
过手,Hand in hand,guò shǒu,605
寒星,Cold star,hán xīng,606
浩渺,vast,hào miǎo,607
合称,combined term,hé chēng,608
合订本,Bound edition,hé dìng běn,609
红极一时,It was a hit,hóng jí yī shí,610
红男绿女,young men and women in holiday dress,hóng nán lv4 nv3,611
猴头,Monkey head,hóu tóu,612
厚葬,Thick burial,hòu zàng,613
胡搅蛮缠,importune,hú jiǎo mán chán,614
画圈儿,draw a circle,huà quān ér,615
话梅,preserved plum,huà méi,616
魂飞天外,one &apos;s soul flew beyond the skies,hún fēi tiān wài,617
火并,Conflagration,huǒ bìng,618
货栈,Warehouse,huò zhàn,619
唧哝,talk in a low voice,jī nóng,620
吉卜赛人,Gypsies,jí bǔ sài rén,621
计时器,timer,jì shí qì,622
祭灶,Sacrificial stove,jì zào,623
加餐,Extra meal,jiā cān,624
简写,Short for,jiǎn xiě,625
嚼舌,gossip,jiáo shé,626
桔梗,Chinese bellflower,jié gěng,627
金龟子,Scarab,jīn guī zǐ,628
窘况,Predicament,jiǒng kuàng,629
纠偏,Rectification,jiū piān,630
酒窖,Wine cellar,jiǔ jiào,631
酒气,the smell of alcohol,jiǔ qì,632
绢花,Silk flower,juàn huā,633
绝版,Out of print,jué bǎn,634
开禁,Lifting the ban,kāi jìn,635
恳挚,sincere,kěn zhì,636
空对空,Air to air,kōng duì kōng,637
宽衣,Undress,kuān yī,638
喇叭花,Morning glory,lǎ ba huā,639
辣酱,thick chilli sauce,là jiàng,640
冷艳,Leng Yan,lěng yàn,641
林莽,Lin Mang,lín mǎng,642
伶仃,Lingding,líng dīng,643
领有,Possession,lǐng yǒu,644
论辩,Argumentation,lùn biàn,645
蚂蟥,Leech,mǎ huáng,646
蛮缠,Manzan,mán chán,647
毛孩子,Mao Xiaoren,máo hái zǐ,648
美言,Good words,měi yán,649
闷葫芦,enigma,mèn hú lu,650
蒙尘,disgraceful,méng chén,651
面呈,Face to face,miàn chéng,652
面面观,overview,miàn miàn guān,653
灭种,Extermination,miè zhǒng,654
鸣冤,Grievance,míng yuān,655
抛砖引玉,throw away a brick in order to get a gem,pāo zhuān yǐn yù,656
陪读,study companion,péi dú,657
皮开肉绽,badly bruised from flogging,pí kāi ròu zhàn,658
拼合,Put together,pīn hé,659
评头品足,be overcritical,píng tóu pǐn zú,660
屏藩,Pingfan,píng fān,661
泼皮,Shrew,pō pí,662
昔天同庆,Celebration of the past,xī tiān tóng qìng,663
欺人太甚,that &apos;s going too far,qī rén tài shèn,664
奇花异草,exotic flowers and rare herbs,qí huā yì cǎo,665
棋赛,Chess Compitition,qí sài,666
起锚,weigh anchor,qǐ máo,667
千秋万代,the ages to come,qiān qiū wàn dài,668
轻骑兵,Light cavalry,qīng qí bīng,669
轻闲,Leisure,qīng xián,670
清账,Settle accounts,qīng zhàng,671
趋炎附势,fawn upon the rich and powerful persons,qū yán fù shì,672
