phrase,en,pronunciation,id
吨公里,Ton kilometer,dūn gōng lǐ,59
多愁善感,always melancholy and moody,duō chóu shàn gǎn,60
多劳多得,"More work, more gain",duō láo duō dé,61
非人,inhuman,fēi rén,62
废寝忘食,"lose sleep and forget to eat from anxiety , etc.",fèi qǐn wàng shí,63
封疆,Fiefdom,fēng jiāng,64
浮标,buoy,fú biāo,65
共管,Co management,gòng guǎn,66
官位,official position,guān wèi,67
光通信,Optical communication,guāng tōng xìn,68
归降,Surrender,guī xiáng,69
国际歌,Internationale,guó jì gē,70
海角,Cape,hǎi jiǎo,71
毫无疑义,be beyond all doubt,háo wú yí yì,72
喝醉,Drunk,hē zuì,73
胡诌,Nonsense,hú zhōu,74
花甲,Carapace,huā jiǎ,75
皇族,royal line,huáng zú,76
黄澄澄,glistening yellow,huáng dēng dēng,77
烩,Stew,huì,78
积重难返,confirmed habits are hard to get rid of,jī zhòng nán fǎn,79
继承权,Right of succession,jì chéng quán,80
僵死,dead,jiāng sǐ,81
角门,Corner Gate,jiǎo mén,82
节律,rhythm,jié lv4,83
晶莹剔透,Crystal clear,jīng yíng tī tòu,84
军乐,military music,jūn yuè,85
开绿灯,give the green light to,kāi lv4 dēng,86
凯旋门,Triumphal Arch,kǎi xuán mén,87
坑人,Pitching people,kēng rén,88
狂暴,Rage,kuáng bào,89
老伙计,old man,lǎo huǒ jì,90
临了,It&apos;s time,lín liǎo,91
留用,Retention,liú yòng,92
麦草,straw,mài cǎo,93
美其名曰,Its name is beautiful,měi qí míng yuē,94
门神,door-god,mén shén,95
麋鹿,Elk,mí lù,96
免予,exempt,miǎn yǔ,97
木鱼,Wooden fish,mù yú,98
凝眸,Gazing,níng móu,99
牛鼻子,Ox nose,niú bí zǐ,100
女招待,waitress,nv3 zhāo dài,101
炮轰,Shelling,pào hōng,102
凄清,cold and clear,qī qīng,103
切面,section,qiē miàn,104
请帖,invitation,qǐng tiě,105
如虎添翼,be a tiger with wings added,rú hǔ tiān yì,106
儒者,Confucian scholar,rú zhě,107
丧胆,Fear,sàng dǎn,108
商海,the business world,shāng hǎi,109
神似,The likeness of spirit,shén sì,110
盛怒,Fury,shèng nù,111
失势,Lose power,shī shì,112
史官,Historian,shǐ guān,113
树桩,Stump,shù zhuāng,114
双料,Shuangliao,shuāng liào,115
水饺,Boiled dumplings,shuǐ jiǎo,116
搜刮,Ransacking,sōu guā,117
特赦,amnesty,tè shè,118
同道,Fellow,tóng dào,119
土地庙,Earth Temple,tǔ dì miào,120
歪歪扭扭,"Crooked, crooked",wāi wāi niǔ niǔ,121
王侯,Princes,wáng hóu,122
畏罪,Fear of crime,wèi zuì,123
文辞,Diction,wén cí,124
无机物,Inorganic matter,wú jī wù,125
无止境,Endless,wú zhǐ jìng,126
夏夜,Summer night,xià yè,127
相左,They are at odds with each other,xiāng zuǒ,128
香烛,joss sticks and candles,xiāng zhú,129
小户,Small household,xiǎo hù,130
心潮澎湃,be full of excitement,xīn cháo péng pài,131
胸臆,heart,xiōng yì,132
羞于,be ashamed to do,xiū yú,133
血栓,thrombus,xuè shuān,134
循环系统,circulatory system,xún huán xì tǒng,135
遥相呼应,echo each other at a distance,yáo xiāng hū yìng,136
遥想,Think far away,yáo xiǎng,137
衣带,belt,yī dài,138
依傍,Rely on,yī bàng,139
隐伏,lie concealed,yǐn fú,140
油船,Oil tanker,yóu chuán,141
月全食,lunar eclipse,yuè quán shí,142
张牙舞爪,make threatening gestures,zhāng yá wǔ zhǎo,143
昭雪,Zhaoxue,zhāo xuě,144
照准,Aiming,zhào zhǔn,145
蛰伏,Dormancy,zhé fú,146
整装待发,be fully equipped for,zhěng zhuāng dài fā,147
政出多门,each department acting on its own,zhèng chū duō mén,148
中看,Chinese view,zhōng kàn,149
诸葛,Zhuge,zhū gě,150
诸公,Zhugong,zhū gōng,151
自作主张,have one &apos;s own way of doing things,zì zuò zhǔ zhāng,152
醉醺醺,Drunk,zuì xūn xūn,153
安全帽,safety hat,ān quán mào,154
包抄,outflank,bāo chāo,155
保收,Guaranteed income,bǎo shōu,156
报警器,a burglar alarm,bào jǐng qì,157
倍数,multiple,bèi shù,158
比邻,near,bǐ lín,159
采购员,buyer,cǎi gòu yuán,160
苍山,Cangshan,cāng shān,161
茶农,tea grower,chá nóng,162
车组,Train set,chē zǔ,163
赤红,Red,chì hóng,164
传布,Spread,chuán bù,165
垂青,Favor,chuí qīng,166
唇膏,Lipstick,chún gāo,167
磁体,magnet,cí tǐ,168
村舍,cottage,cūn shě,169
达观,philosophical,dá guān,170
大牙,Big teeth,dà yá,171
当权派,the authorities,dāng quán pài,172
电焊,Electric welding,diàn hàn,173
洞子,Dongzi,dòng zi,174
独辟蹊径,develop a new method of one &apos;s own,dú pì xī jìng,175
独生子,Only child,dú shēng zǐ,176
端口,port,duān kǒu,177
放枪,Shoot,fàng qiāng,178
风吹草动,wind sways grass,fēng chuī cǎo dòng,179
风笛,bagpipe,fēng dí,180
风琴,organ,fēng qín,181
风势,wind force,fēng shì,182
甘霖,timely rain,gān lín,183
甘油,glycerol,gān yóu,184
各尽所能,let each person do his best,gè jìn suǒ néng,185
各有千秋,each has its own merits,gè yǒu qiān qiū,186
根须,Roots,gēn xū,187
合编,Co edited,hé biān,188
和盘托出,emerge in its totality,hé pán tuō chū,189
和棋,draw,hé qí,190
红土,laterite,hóng tǔ,191
滑溜,Slippery,huá liu,192
黄鱼,Yellow croaker,huáng yú,193
火龙,fiery dragon,huǒ lóng,194
加码,Add weight,jiā mǎ,195
见笑,Laugh,jiàn xiào,196
渐变,Gradual change,jiàn biàn,197
僵尸,corpse,jiāng shī,198
浇注,pouring,jiāo zhù,199
禁赌,No gambling,jìn dǔ,200
惊涛,Waves,jīng tāo,201
锯齿,sawtooth,jù chǐ,202
卷子,Papers,juǎn zi,203
绝收,A good harvest,jué shōu,204
抗菌素,antibiotics,kàng jūn sù,205
浪涛,Waves,làng tāo,206
冷库,Cold storage,lěng kù,207
利己主义,Egoism,lì jǐ zhǔ yì,208
乱蓬蓬,Dishevelled,luàn péng péng,209
骂娘,swear at,mà niáng,210
没门儿,No way,méi mén er,211
男女关系,relations between the two sexes,nán nv3 guān xì,212
平复,Pacification,píng fù,213
欺行霸市,Bullying the market,qī háng bà shì,214
抢白,The white paper,qiǎng bái,215
亲耳,with one&apos;s own ears,qīn ěr,216
雀跃,Exultation,què yuè,217
确证,Corroboration,què zhèng,218
群起,Group up,qún qǐ,219
染指,Fingering,rǎn zhǐ,220
人身保险,Life insurance,rén shēn bǎo xiǎn,221
人行横道,pedestrian crossing,rén xíng héng dào,222
肉质,meat quality,ròu zhì,223
入情入理,be fair and reasonable,rù qíng rù lǐ,224
散文诗,prose poem,sǎn wén shī,225
诗话,On Poetry,shī huà,226
侍弄,Shilong,shì nòng,227
顺当,Shundang,shùn dang,228
耸人听闻,deliberately exagerate so as to create a sensation,sǒng rén tīng wén,229
抬杠,To raise a bar,tái gàng,230
提纯,purification,tí chún,231
天南海北,all over the country,tiān nán hǎi běi,232
万全,Wanquan,wàn quán,233
献殷勤,Be gallant,xiàn yīn qín,234
相让,Give way to each other,xiāng ràng,235
消炎,Anti inflammation,xiāo yán,236
小型张,souvenir sheet,xiǎo xíng zhāng,237
鞋匠,shoemaker,xié jiàng,238
心寒,Cold in the heart,xīn hán,239
虚设,FALSE,xū shè,240
循规蹈矩,too observant of conventional standards,xún guī dǎo jǔ,241
雅座,Elegant seat,yǎ zuò,242
一言为定,It&apos;s a deal.,yī yán wéi dìng,243
衣箱,Suitcase,yī xiāng,244
夷为平地,Razed to the ground,yí wéi píng de,245
银币,silver coin,yín bì,246
鱼缸,fish tank,yú gāng,247
鱼米之乡,"a region , where the cultivation of rice and the breeding of fish flourish",yú mǐ zhī xiāng,248
远房,Far away,yuǎn fáng,249
越野赛,Cross country race,yuè yě sài,250
云量,cloudiness,yún liàng,251
再不然,or,zài bu rán,252
渣滓,dregs,zhā zǐ,253
瞻前顾后,look ahead into the future and back into the past,zhān qián gù hòu,254
征稿,Solicit contributions,zhēng gǎo,255
整饬,Straighten out,zhěng chì,256
植根,take root,zhí gēn,257
忠魂,Loyal soul,zhōng hún,258
主使,Chief envoy,zhǔ shǐ,259
主诉,Chief complaint,zhǔ sù,260
自助餐,Buffet,zì zhù cān,261
罪大恶极,commit the most heinous crimes,zuì dà è jí,262
佰,100,bǎi,263
颁行,Issue,bān xíng,264
报功,Report merit,bào gōng,265
笔头儿,Pen,bǐ tóu er,266
遍体鳞伤,covered all over with cuts and bruises,biàn tǐ lín shāng,267
辩白,Plea,biàn bái,268
补考,a make-up exam,bǔ kǎo,269
补品,Tonic,bǔ pǐn,270
长啸,utter a long and loud cry,cháng xiào,271
超薄,ultrathin,chāo bó,272
臭名,Bad name,chòu míng,273
出尔反尔,promise and then deny in succession,chū ěr fǎn ěr,274
粗浅,superficial,cū qiǎn,275
大年三十,the Chinese new year&apos;s eve,dà nián sān shí,276
单列,Single column,dān liè,277
倒头,Head down,dǎo tóu,278
点数,point,diǎn shù,279
斗嘴,Bickering,dòu zuǐ,280
断代,Dating,duàn dài,281
多时,a long time,duō shí,282
发胖,get fat,fā pàng,283
法老,Pharaoh,fǎ lǎo,284
拂袖,Brush your sleeve,fú xiù,285
负疚,Guilt,fù jiù,286
敢问,venture to ask,gǎn wèn,287
感怀,Feeling,gǎn huái,288
公法,public law,gōng fǎ,289
行家里手,expert,háng jia lǐ shǒu,290
嚎啕,wail,háo táo,291
号啕,Wailing,háo táo,292
核磁共振,nuclear magnetic resonance,hé cí gòng zhèn,293
黑哨,Black whistle,hēi shào,294
昏花,Faint flower,hūn huā,295
混日子,Muddle along,hùn rì zi,296
积习,Accumulated habits,jī xí,297
急骤,In a hurry,jí zhòu,298
急转直下,a sudden turn for the worse,jí zhuǎn zhí xià,299
夹板,Splint,jiā bǎn,300
肩背,Shoulder back,jiān bèi,301
肩胛,scapular,jiān jiǎ,302
剑拔弩张,confront each other with daggers,jiàn bá nǔ zhāng,303
紧箍咒,Hoop curse,jǐn gū zhòu,304
紧锁,Lock,jǐn suǒ,305
禁绝,Forbid,jìn jué,306
经管,management,jīng guǎn,307
经验主义,empiricism,jīng yàn zhǔ yì,308
警风,police conduct,jǐng fēng,309
酒窝,Dimple,jiǔ wō,310
举债,Borrowing,jǔ zhài,311
口风,Talk,kǒu fēng,312
枯水期,Dry season,kū shuǐ qī,313
礼赞,praise,lǐ zàn,314
理工科,science and engineering,lǐ gōng kē,315
连体,Conjoined body,lián tǐ,316
脸盘儿,Face,liǎn pán er,317
落落大方,be liberal and dignified,luò luò dà fāng,318
满目疮痍,see evidence of people&apos;s distress everywhere,mǎn mù chuāng yí,319
明处,Bright place,míng chù,320
摩托艇,motorboat,mó tuō tǐng,321
脑神经,Cranial nerves,nǎo shén jīng,322
谱儿,pretensions,pǔ ér,323
旗开得胜,win victory the moment one raises one &apos;s standard,qí kāi dé shèng,324
启运,start shipment,qǐ yùn,325
千钧一发,that was a close call,qiān jūn yī fà,326
牵牛花,Morning glory,qiān niú huā,327
人浮于事,be overstaffed,rén fú yú shì,328
忍让,Forbearance,rěn ràng,329
射电望远镜,radio telescope,shè diàn wàng yuǎn jìng,330
莘莘,A lot of people,shēn shēn,331
生辰,Birthday,shēng chén,332
食言,Renege on one&apos;s word,shí yán,333
市侩,philistine,shì kuài,334
瘦子,Skinny,shòu zǐ,335
双轨,Double track,shuāng guǐ,336
丝织,Silk weaving,sī zhī,337
松土,Scarification,sōng tǔ,338
碎裂,fragmentation,suì liè,339
踏访,Visit,tà fǎng,340
踏青,Outing,tà qīng,341
太平间,mortuary,tài píng jiān,342
题诗,Write a poem,tí shī,343
甜味儿,Sweet taste,tián wèi ér,344
跳绳,skipping rope,tiào shéng,345
铁杆,Irons,tiě gǎn,346
铜墙铁壁,iron bastions,tóng qiáng tiě bì,347
涂炭,Charcoal coating,tú tàn,348
土族,Tu Nationality,tǔ zú,349
无着,Nothing,wú zhe,350
下联,The second couplet,xià lián,351
弦子,String,xián zǐ,352
销赃,sell stolen goods,xiāo zāng,353
信任感,trust,xìn rèn gǎn,354
行乐,Xingle,xíng lè,355
雄关,Xiongguan,xióng guān,356
养路费,Road maintenance fee,yǎng lù fèi,357
腰椎,lumbar vertebra,yāo zhuī,358
摇滚乐,Rock music,yáo gǔn yuè,359
遥遥无期,far away and not within the foreseeable future,yáo yáo wú qī,360
以理服人,persuade through reasoning,yǐ lǐ fú rén,361
阴沟,sewer,yīn gōu,362
英气,heroic spirit,yīng qì,363
应召,On call,yìng zhào,364
忧思,Melancholy,yōu sī,365
悠然自得,carefree and content,yōu rán zì dé,366
幼女,youngest daughter,yòu nv3,367
在所不惜,not to hesitate to,zài suǒ bù xī,368
赠品,gift,zèng pǐn,369
展露,emerge,zhǎn lù,370
展室,Exhibition Room,zhǎn shì,371
镇痛,analgesia,zhèn tòng,372
征讨,Levy,zhēng tǎo,373
智囊团,Think tank,zhì náng tuán,374
自伤,Self injury,zì shāng,375
坐堂,Sit down,zuò táng,376
爱神,Eros,ài shén,377
安分守己,remain in one &apos;s proper sphere,ān fèn shǒu jǐ,378
绑匪,kidnapper,bǎng fěi,379
保证书,guarantee,bǎo zhèng shū,380
鄙薄,Scorn,bǐ bó,381
铲子,Shovel,chǎn zǐ,382
扯谎,Lie,chě huǎng,383
沉渣,sediment,chén zhā,384
成对,Pairing,chéng duì,385
乘便,Take advantage of,chéng biàn,386
传讯,Subpoena,chuán xùn,387
春游,Spring Tour,chūn yóu,388
从医,Practice medicine,cóng yī,389
寸草不生,not even a blade of grass grows,cùn cǎo bù shēng,390
鞑靼,Tartar,dá dá,391
打从,since,dǎ cóng,392
大雅之堂,elegance,dà yǎ zhī táng,393
旦角儿,Dan Jiao er,dàn jué ér,394
低能,low-energy,dī néng,395
荻,a kind of reed,dí,396
夺路,Seize the road,duó lù,397
恶行,evil,è xíng,398
犯病,Get sick,fàn bìng,399
饭桶,A bucket of rice,fàn tǒng,400
奋起直追,do all one can to catch up,fèn qǐ zhí zhuī,401
风湿病,rheumatism,fēng shī bìng,402
梗塞,infarction,gěng sè,403
工业国,industrial country,gōng yè guó,404
公敌,Public enemy,gōng dí,405
公物,Public property,gōng wù,406
功亏一篑,work not completed,gōng kuī yī kuì,407
挂失,report the loss,guà shī,408
归档,file,guī dàng,409
归天,Return to heaven,guī tiān,410
诡谲,Treacherous,guǐ jué,411
横冲直撞,push one &apos;s way by shoving or humping,héng chōng zhí zhuàng,412
后影,Afterimage,hòu yǐng,413
囫囵,whole,hú lún,414
互让,Give and take,hù ràng,415
汇款单,Remittance,huì kuǎn dān,416
火冒三丈,fly into a rage,huǒ mào sān zhàng,417
基座,Pedestal,jī zuò,418
甲等,Grade A,jiǎ děng,419
钾盐,sylvite,jiǎ yán,420
奸人,villain,jiān rén,421
坚忍,Perseverance,jiān rěn,422
兼收并蓄,swallow anything and everything,jiān shōu bìng xù,423
降压,step-down,jiàng yā,424
浸染,Dip dyeing,jìn rǎn,425
旧物,Antiques,jiù wù,426
均值,mean value,jūn zhí,427
峻岭,Junling,jùn lǐng,428
克己,self-denial,kè jǐ,429
困窘,embarrassed,kùn jiǒng,430
癞蛤蟆,toad,lài há ma,431
老酒,wine,lǎo jiǔ,432
利欲熏心,be reckless with greed,lì yù xūn xīn,433
连缀,Concatenation,lián zhuì,434
淋,Drenching,lìn,435
骂骂咧咧,Swearing,mà ma liē liē,436
冒尖,be a little over,mào jiān,437
美男子,handsome man,měi nán zǐ,438
奶茶,tea with milk,nǎi chá,439
年表,Chronology,nián biǎo,440
排版,Typesetting,pái bǎn,441
排骨,spareribs,pái gǔ,442
聘用制,system of employment under contract,pìn yòng zhì,443
平行线,Parallel line,píng xíng xiàn,444
叵测,Sinister,pǒ cè,445
千奇百怪,all sorts of strange things,qiān qí bǎi guài,446
圈地,Enclosure,quān dì,447
人欲,Human desire,rén yù,448
如获至宝,seem to have hit the jackpot,rú huò zhì bǎo,449
入神,Enchantment,rù shén,450
塞北,Saibei,sài běi,451
沙暴,Sandstorm,shā bào,452
闪光灯,flash lamp,shǎn guāng dēng,453
生离死别,separation between loved ones in life or death,shēng lí sǐ bié,454
失魂落魄,driven to distraction,shī hún luò pò,455
食量,Food intake,shí liàng,456
手淫,Masturbation,shǒu yín,457
叔伯,Uncle,shū bai,458
双人床,Double bed,shuāng rén chuáng,459
水军,navy,shuǐ jūn,460
顺乎,comply with,shùn hū,461
送终,To die,sòng zhōng,462
提亲,Marriage promotion,tí qīn,463
托福,TOEFL,tuō fú,464
外海,Open sea,wài hǎi,465
违宪,Unconstitutional,wéi xiàn,466
文才,Literary talent,wén cái,467
西文,Western Language,xī wén,468
洗牌,shuffle the cards,xǐ pái,469
香槟,champagne,xiāng bīn,470
心细,Careful,xīn xì,471
星星之火,sparks of fire,xīng xīng zhī huǒ,472
行包,Luggage,xíng bāo,473
幸运儿,lucky dog,xìng yùn ér,474
旭日,The rising sun,xù rì,475
迅捷,fast,xùn jié,476
哑剧,Pantomime,yǎ jù,477
言外之意,implication,yán wài zhī yì,478
研习,study,yán xí,479
耀武扬威,swagger before others,yào wǔ yáng wēi,480
遗恨,Last grudge,yí hèn,481
疑义,Doubt,yí yì,482
预演,Preview,yù yǎn,483
乐谱,music,yuè pǔ,484
云游,Wandering,yún yóu,485
曾孙,great-grandson,zēng sūn,486
站牌,bus stop plate,zhàn pái,487
职高,Vocational high school,zhí gāo,488
致密,compact,zhì mì,489
主人家,host family,zhǔ rén jiā,490
柱石,Pillar Stone,zhù shí,491
转圜,Turn around,zhuǎn huán,492
走穴,Go to acupoint,zǒu xué,493
组织性,Organization,zǔ zhī xìng,494
钻空子,Exploit a loophole,zuān kòng zi,495
阿拉伯语,Arabic,ā lā bó yǔ,496
被刺,Stabbed,bèi cì,497
避雨,take shelter from rain,bì yǔ,498
冰凌,Ice cream,bīng líng,499
不可同日而语,Not in the same breath,bù kě tóng rì ér yǔ,500
布雷,Mine laying,bù léi,501
布展,Set up the exhibition,bù zhǎn,502
簿子,book,bù zǐ,503
侧门,Side door,cè mén,504
偿命,Pay for one&apos;s life,cháng mìng,505
承包制,Contract system,chéng bāo zhì,506
吃素,be a vegetarian,chī sù,507
重审,Retrial,chóng shěn,508
初赛,Preliminaries,chū sài,509
大班,Big class,dà bān,510
大义凛然,fearless of death for a just cause,dà yì lǐn rán,511
倒毙,Fall dead,dǎo bì,512
等号,Equal sign,děng hào,513
匪夷所思,fantastic,fěi yí suǒ sī,514
风景如画,The scenery is as beautiful as a painting.,fēng jǐng rú huà,515
缝补,Mending,féng bǔ,516
俯伏,Prostrate,fǔ fú,517
盖世,Peerless,gài shì,518
高不可攀,too high to be reached,gāo bù kě pān,519
胳膊肘儿,Elbows,gē bo zhǒu ér,520
古风,Ancient style,gǔ fēng,521
观瞻,Looking ahead,guān zhān,522
鬼门关,The gate of death,guǐ mén guān,523
喊话,Shouting,hǎn huà,524
红眼,Red eye,hóng yǎn,525
祸患,Disaster,huò huàn,526
饥寒交迫,suffer hunger and cold,jī hán jiāo pò,527
鸡笼,Chicken coop,jī lóng,528
集市贸易,country fair trade,jí shì mào yì,529
荠菜,Shepherd&apos;s purse,jì cài,530
简史,brief history,jiǎn shǐ,531
进口额,Import volume,jìn kǒu é,532
旧制,Old system,jiù zhì,533
绝句,Quatrains,jué jù,534
课件,Courseware,kè jiàn,535
空巢,empty nest,kōng cháo,536
空当,Vacant,kòng dāng,537
劳碌,Toil,láo lù,538
老实巴交,honest,lǎo shí bā jiāo,539
磊落,Open and aboveboard,lěi luò,540
两全其美,satisfy both sides,liǎng quán qí měi,541
领办,take the lead in setting up sth.,lǐng bàn,542
琉璃瓦,Glazed tile,liú li wǎ,543
茅坑,Maokeng,máo kēng,544
谜语,Riddles,mí yǔ,545
谋面,Meet,móu miàn,546
排卵,ovulation,pái luǎn,547
碰杯,clink glasses,pèng bēi,548
匹夫,A man,pǐ fū,549
偏好,preference,piān hào,550
贫民窟,Slums,pín mín kū,551
破落,Dilapidated,pò luò,552
亲子,Parenting,qīn zǐ,553
轻纱,Gossamer,qīng shā,554
清朗,Qinglang,qīng lǎng,555
煽惑,Incite,shān huò,556
上班族,office worker,shàng bān zú,557
上首,First,shàng shǒu,558
神智,Mind,shén zhì,559
生殖器,genitals,shēng zhí qì,560
师表,Model teacher,shī biǎo,561
食油,Cooking oil,shí yóu,562
说到做到,Do what you say,shuō dào zuò dào,563
死不瞑目,turn in one&apos;s grave,sǐ bù míng mù,564
汤圆,Tangyuan(glutinous rice ball),tāng yuán,565
搪,Prevaricate,táng,566
条凳,Bench,tiáo dèng,567
童趣,Children&apos;s interest,tóng qù,568
瓦片,Tile,wǎ piàn,569
网开一面,give the wrongdoer a way out,wǎng kāi yī miàn,570
纹路,lines,wén lu,571
无可比拟,there is nothing comparable to this,wú kě bǐ nǐ,572
洗劫,Ransacking,xǐ jié,573
虾米,small shrimp,xiā mi,574
骁将,A valiant general,xiāo jiàng,575
消夏,Summer break,xiāo xià,576
小引,A brief introduction,xiǎo yǐn,577
邪路,evil ways,xié lù,578
信不过,I can&apos;t believe it,xìn bu guò,579
行得通,It works,xíng dé tōng,580
胸罩,Bra,xiōng zhào,581
雪人,snowman,xuě rén,582
烟鬼,heavy smoker,yān guǐ,583
盐分,salinity,yán fèn,584
掩蔽,Cover up,yǎn bì,585
一钱不值,utterly worthless,yī qián bù zhí,586
淫荡,Licentious,yín dàng,587
诱敌,Seduce the enemy,yòu dí,588
与人为善,for the good of others,yǔ rén wéi shàn,589
展播,Exhibition and broadcasting,zhǎn bō,590
贞节,chastity,zhēn jié,591
中空,Hollow,zhōng kōng,592
煮沸,boiling,zhǔ fèi,593
半死不活,half-dead,bàn sǐ bù huó,594
半圆形,Semicircle,bàn yuán xíng,595
保外就医,Medical parole,bǎo wài jiù yī,596
暴君,tyrant,bào jūn,597
卑贱,Humble,bēi jiàn,598
宾语,object,bīn yǔ,599
茶会,Tea party,chá huì,600
差旅费,Travel expenses,chāi lv3 fèi,601
常绿,evergreen,cháng lv4,602
超量,Excess,chāo liàng,603
聪颖,Smart,cōng yǐng,604
粗粮,Coarse grain,cū liáng,605
打圆场,Make a round,dǎ yuán chǎng,606
大嫂子,Sister in law,dà sǎo zǐ,607
道听途说,hearsay,dào tīng tú shuō,608
稻种,seed rice,dào zhǒng,609
定式,Stereotype,dìng shì,610
动手动脚,Move,dòng shǒu dòng jiǎo,611
度数,degrees,dù shu,612
婀娜多姿,very pretty and charming,ē nuó duō zī,613
方凳,Square stool,fāng dèng,614
费尽心机,tax one &apos;s ingenuity,fèi jìn xīn jī,615
风雨飘摇,swaying in the midst of a raging storm,fēng yǔ piāo yáo,616
佛爷,Buddha,fó ye,617
复转,Reversion,fù zhuǎn,618
岗哨,sentry,gǎng shào,619
搞笑,Funny,gǎo xiào,620
过奖,I&apos;m flattered,guò jiǎng,621
荷枪实弹,carry loaded guns,hè qiāng shí dàn,622
黑云,Dark Cloud,hēi yún,623
恒久,Forever,héng jiǔ,624
胡言乱语,talk nonsense,hú yán luàn yǔ,625
花名册,roster,huā míng cè,626
火山口,crater,huǒ shān kǒu,627
夹层,interlayer,jiā céng,628
夹克,Jacket,jiā kè,629
家丑,Family clown,jiā chǒu,630
交通警察,Traffic police,jiāo tōng jǐng chá,631
谨严,Scrupulous,jǐn yán,632
军力,military strength,jūn lì,633
刊行,Publish,kān xíng,634
空姐,airline stewardess,kōng jiě,635
老辈,elders,lǎo bèi,636
雷霆,Thunder,léi tíng,637
留成,Retention,liú chéng,638
六指,Six fingers,liù zhǐ,639
满满当当,It&apos;s full,mǎn mǎn dāng dāng,640
灭火器,Fire Extinguisher,miè huǒ qì,641
名山大川,well-known mountains and rivers,míng shān dà chuān,642
明哲保身,be worldly-wise and play safe,míng zhé bǎo shēn,643
莫衷一是,unable to agree on which is right,mò zhōng yī shì,644
嫩芽,Bud,nèn yá,645
涅槃,Nirvana,niè pán,646
拍胸脯,Clap your chest,pāi xiōng pú,647
排雷,mine clearance,pái léi,648
纰漏,Mistakes,pī lòu,649
毗连,Contiguous,pí lián,650
譬喻,Metaphor,pì yù,651
七绝,four-line poem with seven characters to a line and a strict tonal pattern and rhyme scheme,qī jué,652
气态,Gaseous state,qì tài,653
青云,Qingyun,qīng yún,654
情场,the arena of love,qíng chǎng,655
取保候审,Bail pending trial,qǔ bǎo hòu shěn,656
日志,journal,rì zhì,657
绒布,flannelette,róng bù,658
容光焕发,one&apos;s face glowing with health,róng guāng huàn fā,659
如花似玉,as pretty as a flower,rú huā sì yù,660
山岩,Mountain rock,shān yán,661
上劲,Work hard,shàng jìn,662
受雇,be employed,shòu gù,663
受累,to be involved,shòu lèi,664
顺道,By the way,shùn dào,665
私奔,Elopement,sī bēn,666
松涛,Songtao,sōng tāo,667
随机应变,adjust to changing circumstances,suí jī yìng biàn,668
踏雪,walk in snow,tà xuě,669
恬淡,Tranquility,tián dàn,670
通好,Tonghao,tōng hǎo,671
痛饮,To drink bitterly,tòng yǐn,672
万水千山,the trials of a long journey,wàn shuǐ qiān shān,673
伪善,hypocrisy,wěi shàn,674
无恶不作,commit all manners of crimes,wú è bù zuò,675
无坚不摧,carry all before one,wú jiān bù cuī,676
销魂,Ecstasy,xiāo hún,677
小便宜,Small cheap,xiǎo pián yi,678
小题大作,make a fuss over a trifling matter,xiǎo tí dà zuò,679
