phrase,en,pronunciation,id
翱翔,Soaring,áo xiáng,207
编译,compile,biān yì,208
变性,denaturation,biàn xìng,209
兵马俑,terra cotta warriors,bīng mǎ yǒng,210
粗细,thickness,cū xì,211
归队,Return to the team,guī duì,212
国都,capital,guó dū,213
过活,Live on,guò huó,214
好天儿,fine day,hǎo tiān er,215
合同制,Contract system,hé tong zhì,216
魂魄,Soul,hún pò,217
慷慨激昂,speak in excitement emotion,kāng kǎi jī áng,218
窥视,Peep,kuī shì,219
门卫,guard,mén wèi,220
民谣,ballad,mín yáo,221
女人,woman,nv3 ren,222
求索,Search,qiú suǒ,223
税额,Tax amount,shuì é,224
随和,Easygoing,suí he,225
袒护,Protect,tǎn hù,226
滔天,Monstrous,tāo tiān,227
天文望远镜,Astronomical telescope,tiān wén wàng yuǎn jìng,228
田埂,Ridge,tián gěng,229
颓然,Dispirited,tuí rán,230
褪色,fade,tuì shǎi,231
无涯,Boundless,wú yá,232
无照,without a license,wú zhào,233
驿站,Post station,yì zhàn,234
因循,Follow suit,yīn xún,235
邮箱,mailbox,yóu xiāng,236
雨露,rain and dew,yǔ lù,237
郁闷,depressed,yù mèn,238
原意,Original intention,yuán yì,239
远见卓识,have farsightedness,yuǎn jiàn zhuó shí,240
跃跃欲试,itch for a try,yuè yuè yù shì,241
绽开,burst forth,zhàn kāi,242
钟楼,bell tower,zhōng lóu,243
转岗,transfer to a new post,zhuǎn gǎng,244
祖籍,Ancestral home,zǔ jí,245
作祟,Make trouble,zuò suì,246
兵役,military service,bīng yì,247
大肚子,Big belly,dà dù zi,248
刀枪,Knives and guns,dāo qiāng,249
得奖,Award winning,dé jiǎng,250
告成,It&apos;s done,gào chéng,251
话把儿,Talking,huà bà er,252
火电,Thermal power,huǒ diàn,253
精炼,refine,jīng liàn,254
纠风,restore propriety,jiū fēng,255
举一反三,infer other things from one fact,jǔ yī fǎn sān,256
溜走,slip away,liū zǒu,257
棉农,Cotton farmers,mián nóng,258
明目张胆,in a flagrant way,míng mù zhāng dǎn,259
目不转睛,all eyes,mù bù zhuǎn jīng,260
千载难逢,it happens only once in a thousand years,qiān zǎi nán féng,261
深思熟虑,over in one&apos;s mind,shēn sī shú lv4,262
神志,Mind,shén zhì,263
适得其反,run counter to one&apos;s desire,shì dé qí fǎn,264
舒缓,Soothing,shū huǎn,265
听信,Listen,tīng xìn,266
外向,extroversion,wài xiàng,267
五光十色,resplendent with variegated coloration,wǔ guāng shí sè,268
稀释,dilution,xī shì,269
限电,Power rationing,xiàn diàn,270
消解,Digestion,xiāo jiě,271
心弦,Heartstrings,xīn xián,272
酗酒,Alcoholism,xù jiǔ,273
要挟,Blackmail,yāo xié,274
衣食住行,basic necessities of life,yī shí zhù xíng,275
阴冷,gloomy and cold,yīn lěng,276
拥军优属,Support the army and give preferential treatment to families,yōng jūn yōu shǔ,277
约摸,about,yuē mo,278
约莫,About,yuē mo,279
追兵,Pursuit,zhuī bīng,280
作答,Answer,zuò dá,281
大动脉,Great arteries,dà dòng mài,282
大龄,Older age,dà líng,283
荡然无存,all gone,dàng rán wú cún,284
灯亮儿,light,dēng liàng er,285
缔约国,State Party,dì yuē guó,286
定局,It&apos;s a foregone conclusion,dìng jú,287
匪徒,Bandit,fěi tú,288
付钱,pay,fù qián,289
甘草,Licorice,gān cǎo,290
工场,Workshop,gōng chǎng,291
后脑勺儿,Back of the head,hòu nǎo sháo er,292
浑厚,Generous,hún hòu,293
机房,computer room,jī fáng,294
将帅,commander-in-chief,jiàng shuài,295
警备,Guard,jǐng bèi,296
巨星,SuperStar,jù xīng,297
剧照,Stills,jù zhào,298
抗御,resist,kàng yù,299
利剑,sharp sword,lì jiàn,300
龙眼,longan,lóng yǎn,301
那阵儿,during that period,nà zhèn er,302
农夫,farmer,nóng fū,303
岂有此理,how absurd,qǐ yǒu cǐ lǐ,304
软化,soften,ruǎn huà,305
生物圈,biosphere,shēng wù quān,306
思辨,Speculation,sī biàn,307
未始,The beginning,wèi shǐ,308
学制,Educational system,xué zhì,309
印染,printing and dyeing,yìn rǎn,310
油水,oil-water,yóu shuǐ,311
囿于,confined,yòu yú,312
宅基,homestead,zhái jī,313
把子,Handle,bǎ zi,314
编修,Editing,biān xiū,315
勃勃,Exuberant,bó bó,316
不动产,Real estate,bù dòng chǎn,317
沉迷,indulge,chén mí,318
成群结队,gathering in crowds and groups,chéng qún jié duì,319
纯度,purity,chún dù,320
打滚儿,roll about,dǎ gǔn ér,321
缔约,Contracting,dì yuē,322
刁,Diao,diāo,323
奉为,Regard as,fèng wéi,324
呱,Quack,guā,325
海绵,Sponge,hǎi mián,326
呼噜,snoring,hū lū,327
胡琴,Huqin,hú qín,328
继父,stepfather,jì fù,329
拷,Copy,kǎo,330
脸谱,Facebook,liǎn pǔ,331
卖方,seller,mài fāng,332
排序,sort,pái xù,333
捧场,Support,pěng chǎng,334
凭吊,Pay attention to,píng diào,335
棋子,piece,qí zǐ,336
峭壁,Cliff,qiào bì,337
情书,Love letter,qíng shū,338
认准,Recognize,rèn zhǔn,339
乳头,papilla,rǔ tóu,340
失色,Lose colour,shī sè,341
市话,Local telephone,shì huà,342
受制,Subject to,shòu zhì,343
输赢,Win or lose,shū yíng,344
颂歌,Ode,sòng gē,345
所以然,That&apos;s why,suǒ yǐ rán,346
天涯海角,the remotest corners of the globe,tiān yá hǎi jiǎo,347
徒刑,imprisonment,tú xíng,348
土生土长,native,tǔ shēng tǔ zhǎng,349
湍流,turbulence,tuān liú,350
瓦砾,rubble,wǎ lì,351
稳产,stable yields,wěn chǎn,352
问好,Hello,wèn hǎo,353
物产,products,wù chǎn,354
唏嘘,Sorry,xī xū,355
犀利,sharp,xī lì,356
下肢,the legs,xià zhī,357
形象思维,Image thinking,xíng xiàng sī wéi,358
圩,Polder,wéi,359
沿江,along the river,yán jiāng,360
折服,Admire,zhé fú,361
珍重,Cherish,zhēn zhòng,362
并进,Go hand in hand,bìng jìn,363
成亲,Get married,chéng qīn,364
筹码,chip,chóu mǎ,365
创优,Create excellence,chuàng yōu,366
对垒,Against each other,duì lěi,367
多极,multipole,duō jí,368
鬼鬼祟祟,sneaking,guǐ guǐ suì suì,369
祭祖,Ancestor worship,jì zǔ,370
结核,Tuberculosis,jié hé,371
救火,fight a fire,jiù huǒ,372
拒之门外,shut sb. out,jù zhī mén wài,373
口哨儿,Whistling,kǒu shào er,374
连衣裙,Dress,lián yī qún,375
名校,Famous school,míng xiào,376
摩登,Modern,mó dēng,377
拟订,draw up,nǐ dìng,378
年少,young,nián shào,379
破天荒,epoch-making,pò tiān huāng,380
热带雨林,Tropical rain forest,rè dài yǔ lín,381
三部曲,trilogy,sān bù qǔ,382
食客,Diners,shí kè,383
视同,treat as,shì tóng,384
收工,Call it a day,shōu gōng,385
思想体系,ideological system,sī xiǎng tǐ xì,386
四通八达,lead in all directions,sì tōng bā dá,387
田家,Tian family,tián jiā,388
通融,Accommodation,tōng róng,389
武斗,Fighting,wǔ dǒu,390
西药,Western medicine,xī yào,391
香料,spice,xiāng liào,392
硝酸,nitric acid,xiāo suān,393
心路,Mental path,xīn lù,394
行宫,A temporary imperial palace,xíng gōng,395
押解,Escort,yā jiè,396
仰面,back,yǎng miàn,397
要饭,be a beggar,yào fàn,398
因循守旧,follow the beaten track,yīn xún shǒu jiù,399
樟树,Camphor tree,zhāng shù,400
真菌,fungus,zhēn jūn,401
中考,Senior high school entrance examination,zhōng kǎo,402
忠义,Loyalty and righteousness,zhōng yì,403
众议员,a member of the House of Representatives,zhòng yì yuán,404
注解,annotation,zhù jiě,405
总责,Overall responsibility,zǒng zé,406
遨游,Roam,áo yóu,407
把式,Handgrip,bǎ shi,408
草棚,Straw shed,cǎo péng,409
啜泣,Sobbing,chuò qì,410
辞行,Words and expressions,cí xíng,411
定睛,Focus on,dìng jīng,412
发黄,become yellow,fā huáng,413
翻番,Double,fān fān,414
芳草,fragrant grass,fāng cǎo,415
佛经,the buddhist scripture,fó jīng,416
供过于求,oversupply,gōng guò yú qiú,417
好色,Lechery,hào sè,418
讳,Taboo,huì,419
叫嚷,Shouting,jiào rǎng,420
抗原,antigen,kàng yuán,421
买办,Comprador,mǎi bàn,422
门子,The door,mén zǐ,423
谬误,fallacy,miù wù,424
磨合,running-in,mó hé,425
泣不成声,choke with sobs,qì bù chéng shēng,426
清官,Honest and upright officials,qīng guān,427
人名,name,rén míng,428
烧饭,cook rice,shāo fàn,429
奢华,luxurious,shē huá,430
嗣位,succeed to the throne,sì wèi,431
俗话,As the saying goes,sú huà,432
酸甜,sour and sweet,suān tián,433
弹琴,play the piano,dàn qín,434
天象,Astronomical phenomena,tiān xiàng,435
童子,boy,tóng zǐ,436
突袭,Sudden Strike,tū xí,437
托付,Entrustment,tuō fù,438
先行者,forerunner,xiān xíng zhě,439
星罗棋布,scattered all over like stars in the sky or men on a chessboard,xīng luó qí bù,440
阎王,The king of hell,yán wang,441
夜市,Night market,yè shì,442
隐私权,rights of privacy,yǐn sī quán,443
宅院,Homestead,zhái yuàn,444
自足,self-contained,zì zú,445
半月刊,Semimonthly,bàn yuè kān,446
镑,Pound,bàng,447
北魏,Northern Wei Dynasty,běi wèi,448
成堆,Piles,chéng duī,449
痴情,Infatuation,chī qíng,450
冬瓜,Wax gourd,dōng guā,451
毒贩,Drug dealers,dú fàn,452
耳熟能详,for having heard it many times,ěr shú néng xiáng,453
光明磊落,be perfectly open in all one &apos;s actions,guāng míng lěi luò,454
国体,National style,guó tǐ,455
候补,be an alternate,hòu bǔ,456
划归,Belong to,huà guī,457
降职,Demotion,jiàng zhí,458
接头,Connector,jiē tóu,459
苦果,bitter pill,kǔ guǒ,460
碰壁,Hit the wall,pèng bì,461
欺压,Bullying,qī yā,462
旗子,flag,qí zǐ,463
汽水,Soda,qì shuǐ,464
染料,dyestuff,rǎn liào,465
时值,Time value,shí zhí,466
四时,Four seasons,sì shí,467
松柏,Pine and cypress,sōng bǎi,468
送货,Delivery,sòng huò,469
诉讼法,procedural law,sù sòng fǎ,470
酸痛,Soreness,suān tòng,471
托运,Consignment,tuō yùn,472
委实,really,wěi shí,473
先秦,Pre Qin Dynasty,xiān qín,474
心安理得,feel at ease and justified,xīn ān lǐ dé,475
赠给,Gift to,zèng gěi,476
针织,knitting,zhēn zhī,477
直销,Direct selling,zhí xiāo,478
赚取,earn,zhuàn qǔ,479
追杀,Pursue and kill,zhuī shā,480
备课,Lesson preparation,bèi kè,481
大显身手,display one &apos;s skill to the full,dà xiǎn shēn shǒu,482
恩爱,Love,ēn ài,483
分部,branch,fēn bù,484
覆辙,Mistakes,fù zhé,485
隔开,separate,gé kāi,486
功用,function,gōng yòng,487
侃侃而谈,speak with fervour and assurance,kǎn kǎn ér tán,488
内核,kernel,nèi hé,489
叛军,rebel forces,pàn jūn,490
婆媳,mother-in-law and daughter-in-law,pó xí,491
凄然,Sad,qī rán,492
起早,get up early,qǐ zǎo,493
时钟,Clock,shí zhōng,494
填充,fill,tián chōng,495
围堰,cofferdam,wéi yàn,496
西式,Western style,xī shì,497
嫌弃,Dislike,xián qì,498
嫌疑犯,suspect,xián yí fàn,499
相依为命,stick together and help each other in difficulties,xiāng yī wéi mìng,500
相宜,Appropriate,xiāng yí,501
心力,Mental strength,xīn lì,502
薰,Fumigation,xūn,503
余热,waste heat,yú rè,504
主讲,be the speaker,zhǔ jiǎng,505
宁,Ning,níng,506
惨淡,Bleak,cǎn dàn,507
承运,Carriage,chéng yùn,508
传唱,Singing,chuán chàng,509
淡然,Indifferent,dàn rán,510
德语,German,dé yǔ,511
登记表,a registration form,dēng jì biǎo,512
垫付,Advance payment,diàn fù,513
痘,Pox,dòu,514
幡,Banners,fān,515
附录,appendix,fù lù,516
古往今来,from ancient to modern times,gǔ wǎng jīn lái,517
淮海,Huaihai,huái hǎi,518
交售,Sale,jiāo shòu,519
轿夫,Sedan chair man,jiào fū,520
拮据,Tight,jié jū,521
尽兴,Enjoy yourself,jìn xìng,522
绝缘,insulation,jué yuán,523
可有可无,not essential,kě yǒu kě wú,524
克里姆林宫,The Kremlin,kè lǐ mǔ lín gōng,525
狂奔,Gallop,kuáng bēn,526
历史剧,Historical drama,lì shǐ jù,527
疗养,Recuperation,liáo yǎng,528
裂开,Split,liè kāi,529
麦收,Wheat harvest,mài shōu,530
南朝,Southern Dynasties,nán cháo,531
上半时,In the first half of the year,shàng bàn shí,532
尚待,remain,shàng dài,533
少许,few,shǎo xǔ,534
跳台,diving platform,tiào tái,535
萧萧,Xiao Xiao,xiāo xiāo,536
效忠,Loyalty,xiào zhōng,537
一己,Alone,yī jǐ,538
游历,Travel,yóu lì,539
招徕,Solicit,zhāo lái,540
茶碗,Tea bowl,chá wǎn,541
柴禾,firewood,chái hé,542
担保人,guarantee,dān bǎo rén,543
瞪眼,Stare at,dèng yǎn,544
非金属,Nonmetal,fēi jīn shǔ,545
肺病,lung disease,fèi bìng,546
富含,be rich in,fù hán,547
改口,Change your tongue,gǎi kǒu,548
哥儿们,Man,gē er men,549
航程,voyage,háng chéng,550
火势,intensity of a fire,huǒ shì,551
机要,Confidential,jī yào,552
空域,airspace,kōng yù,553
零配件,Spare parts,líng pèi jiàn,554
留存,Retained,liú cún,555
闹着玩儿,joke,nào zhe wán er,556
女真,Jurchen,nv3 zhēn,557
评述,to comment,píng shù,558
情思,affection,qíng sī,559
热乎乎,It&apos;s hot,rè hū hū,560
戎,Rong,róng,561
鞣,Tanning,róu,562
山崖,Cliff,shān yá,563
试看,Try it,shì kàn,564
耸肩,Shrug,sǒng jiān,565
坛子,earthen jar,tán zǐ,566
投诚,Surrender,tóu chéng,567
图文并茂,Picture and text,tú wén bìng mào,568
微量,trace,wēi liàng,569
小球,Little ball,xiǎo qiú,570
移栽,transplant,yí zāi,571
溢于言表,shows between the lines,yì yú yán biǎo,572
音色,timbre,yīn sè,573
鱼池,Fish pond,yú chí,574
预审,Preliminary examination,yù shěn,575
朝夕,Day and night,zhāo xī,576
霸主,Overlord,bà zhǔ,577
本部,Headquarters,běn bù,578
波段,band,bō duàn,579
春色,spring scenery,chūn sè,580
刀刃,Blade,dāo rèn,581
斗殴,a fist fight,dòu ōu,582
干杯,Cheers!,gān bēi,583
货真价实,bang for your buck,huò zhēn jià shí,584
解冻,thaw,jiě dòng,585
旧日,old days,jiù rì,586
铐,Handcuffs,kào,587
诓,Swindle,kuāng,588
老爷爷,grandpa,lǎo yé yé,589
两样,different,liǎng yàng,590
曼丽,delicately beautiful,màn lì,591
闷气,Sullen,mèn qì,592
蒙骗,To deceive,mēng piàn,593
目击,witness,mù jī,594
内因,internal cause,nèi yīn,595
农忙,Busy farming,nóng máng,596
契合,Fit,qì hé,597
融汇,"fusion ",róng huì,598
山洪,Mountain torrent,shān hóng,599
摄像,Camera,shè xiàng,600
神明,gods,shén míng,601
誓死,Vow to death,shì sǐ,602
授意,Inspiration,shòu yì,603
索道,Cableway,suǒ dào,604
提意见,Comment,tí yì jiàn,605
舞曲,Dance music,wǔ qǔ,606
鲜见,rarely,xiān jiàn,607
信号灯,Signal lamp,xìn hào dēng,608
学艺,Study art,xué yì,609
洋服,Foreign clothes,yáng fú,610
拥政爱民,support the government and cherish the people,yōng zhèng ài mín,611
有年,There are years,yǒu nián,612
域中,In domain,yù zhōng,613
圆圈,circle,yuán quān,614
招数,Tricks,zhāo shù,615
照会,note,zhào huì,616
佐证,evidence,zuǒ zhèng,617
哀乐,Sorrow and joy,āi yuè,618
安检,security check,ān jiǎn,619
把柄,Handle,bǎ bǐng,620
并轨,"comping ",bìng guǐ,621
长裙,longuette,cháng qún,622
打基础,Lay the foundation,dǎ jī chǔ,623
东头,east end,dōng tóu,624
动议,motion,dòng yì,625
废物,waste material,fèi wu,626
回廊,cloister,huí láng,627
回流,backflow,huí liú,628
混入,Mix in,hùn rù,629
尽职,Due diligence,jìn zhí,630
爵士,sir,jué shì,631
离异,divorce,lí yì,632
寥寥无几,scanty,liáo liáo wú jǐ,633
毛骨悚然,with one &apos;s hair standing on end,máo gǔ sǒng rán,634
叛逆,treason,pàn nì,635
膀,Arm,bǎng,636
畦,Border,qí,637
起火,to catch fire,qǐ huo,638
起跑线,starting line,qǐ pǎo xiàn,639
敲击,Knock,qiāo jī,640
热度,degree of heat,rè dù,641
蠕虫,worm,rú chóng,642
升天,Ascend to heaven,shēng tiān,643
实用主义,pragmatism,shí yòng zhǔ yì,644
水花,Water flower,shuǐ huā,645
说开,be in current use,shuō kāi,646
天灾,Natural disaster,tiān zāi,647
铁饭碗,Iron rice bowl,tiě fàn wǎn,648
透亮,bright,tòu liàng,649
相视,Look at each other,xiāng shì,650
压岁钱,Lucky money,yā suì qián,651
洋楼,Western style building,yáng lóu,652
隐居,Seclusion,yǐn jū,653
优厚,Generous,yōu hòu,654
知难而进,advance despite difficulties,zhī nán ér jìn,655
制图,drafting,zhì tú,656
爪子,Claw,zhuǎ zi,657
自励,Self motivation,zì lì,658
字幕,subtitle,zì mù,659
走低,Lower,zǒu dī,660
族群,ethnic groups,zú qún,661
左邻右舍,neighbours,zuǒ lín yòu shè,662
半信半疑,dubious,bàn xìn bàn yí,663
褒奖,Commendation,bāo jiǎng,664
传诵,Recite,chuán sòng,665
打成一片,become integrated with,dǎ chéng yī piàn,666
犊,Calf,dú,667
恶霸,Bully,è bà,668
慧眼,Insight,huì yǎn,669
竭诚,wholeheartedly,jié chéng,670
京华,Jinghua,jīng huá,671
狂飙,Storm,kuáng biāo,672
连贯,coherent,lián guàn,673
领口,Neckline,lǐng kǒu,674
绿油油,bright green,lv4 yóu yóu,675
卵子,egg,luǎn zǐ,676
美术家,artist,měi shù jiā,677
脑勺儿,Brain spoon,nǎo sháo ér,678
平实,Plain,píng shí,679
前夜,The night before yesterday,qián yè,680
入帐,Entry,rù zhàng,681
撒尿,Pee,sā niào,682
三餐,three meals,sān cān,683
赊,Credit,shē,684
申雪,appeal for redress of a wrong,shēn xuě,685
生息,Interest bearing,shēng xī,686
十二分,12 points,shí èr fēn,687
刷牙,brush one &apos;s teeth,shuā yá,688
条理,Organization,tiáo lǐ,689
条纹,stripe,tiáo wén,690
铁锨,spade,tiě xiān,691
痛惜,Lament,tòng xī,692
挖潜,Tap the potential,wā qián,693
炎黄子孙,all the children of the yellow emperor,yán huáng zǐ sūn,694
秧苗,rice seedling,yāng miáo,695
一宿,an overnight stay,yī sù,696
隐形,invisible,yǐn xíng,697
迎候,Welcome,yíng hòu,698
油烟,lampblack,yóu yān,699
育龄,childbearing age,yù líng,700
增收节支,increase revenue and reduce expenditure,zēng shōu jié zhī,701
待客,Hospitality,dài kè,702
地块儿,Land parcel,dì kuài er,703
玷污,Defile,diàn wū,704
风尘,Wind and dust,fēng chén,705
风行,popular,fēng xíng,706
佛寺,Buddhist temple,fó sì,707
隔离带,Isolation zone,gé lí dài,708
横穿,Across,héng chuān,709
画院,Painting Academy,huà yuàn,710
亟须,Urgent need,jí xū,711
奸淫,adultery,jiān yín,712
谨防,Beware,jǐn fáng,713
哭喊,Crying,kū hǎn,714
阔人,rich man,kuò rén,715
肋骨,Rib,lèi gǔ,716
门锁,Door lock,mén suǒ,717
糜,Mi,mí,718
名号,name,míng hào,719
木然,Numbness,mù rán,720
霹雳,Thunderbolt,pī lì,721
破败,Dilapidated,pò bài,722
欠债,debt due,qiàn zhài,723
染色体,chromosome,rǎn sè tǐ,724
尚存,remain,shàng cún,725
水肿,edema,shuǐ zhǒng,726
死心,Give up,sǐ xīn,727
伺机,Waiting for an opportunity,sì jī,728
投靠,Take refuge in,tóu kào,729
土层,layer,tǔ céng,730
喜气,Cheerfulness,xǐ qì,731
戏说,entertain,xì shuō,732
乡音,Local accent,xiāng yīn,733
演剧,Acting,yǎn jù,734
硬度,hardness,yìng dù,735
圆脸,round face,yuán liǎn,736
支架,Bracket,zhī jià,737
转嫁,Pass on,zhuǎn jià,738
祖坟,Ancestral grave,zǔ fén,739
编著,Edited by,biān zhù,740
藏品,Collection,cáng pǐn,741
草料,Forage,cǎo liào,742
插曲,episode,chā qǔ,743
